participant_id,MAE,MAE_SE,RMSE,RMSE_SE,MAPE,MAPE_SE,Pearson,Pearson_SE,SNR,SNR_SE,num_windows,mean_prediction,mean_ground_truth,std_prediction,std_ground_truth
subject10,0.5022321428571429,0.4649766126089824,1.3287813504230646,1.2785473803123033,0.49261083743842365,0.45606901466628147,0.9929469266981571,0.05302150650572764,0.6217656896515665,0.5855914701725048,7,109.98883928571429,109.48660714285714,9.892825916982694,10.194199116722096
subject11,0.5022321428571429,0.4649766126089823,1.3287813504230646,1.2785473803123033,0.3968253968253968,0.3673889284811712,0.973123680201904,0.10298573010888697,3.095595447331494,0.9947647607863775,7,125.05580357142857,124.55357142857143,5.26745515264027,4.920849929698348
subject12,2.5111607142857144,1.840430453530388,5.478705861145169,5.092408694262718,3.6090225563909777,2.6206617186534173,-0.22047927592204922,0.43620841094341334,1.2073812701916657,1.0823517836676355,7,66.796875,68.30357142857143,4.603033622165464,1.7397831772455241
subject13,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,9.424321830774484e-09,0.5853270136168554,0.8457354687197065,7,109.48660714285714,109.48660714285714,9.476097119253286,9.476097119253286
subject14,5.022321428571429,2.445735729297414,8.191158363431965,6.332217367779828,6.114718614718615,2.9543953740529862,0.18999014891433708,0.4390680455955564,-1.8794262511799162,1.128374975872642,7,71.31696428571429,76.33928571428571,4.080153216614042,5.856982930090145
subject15,7.533482142857143,4.993539979966449,15.208597697270143,13.985477699291526,6.4245052859853615,4.18962735175264,-0.5574833371795759,0.37127141790531715,-3.831386276777945,1.1378648221563497,7,109.98883928571429,114.50892857142857,12.136988143119549,3.6906374472737613
subject16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.1184161194286864,0.6401160418095315,7,93.41517857142857,93.41517857142857,3.176394971151274,3.176394971151274
subject17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.928780973808382,0.7383352144026574,7,85.88169642857143,85.88169642857143,3.1763949711512742,3.1763949711512742
subject18,1.5066964285714286,1.3949298378269468,3.9863440512691937,3.83564214093691,1.1904761904761905,1.1021667854435135,0.8896132669345046,0.20424898300560412,-1.1266124187900988,0.7838993984820388,7,119.53125,121.03794642857143,7.748060133084465,7.940987427878185
subject1,0.5859375,0.5348853100636388,1.4352478961620183,1.3712972574144822,0.5952380952380952,0.543375553080522,0.9899453688973892,0.07072511328837189,0.46038668599567095,0.5662990410099928,6,103.7109375,103.125,9.020393155277725,9.22735297735759
subject20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.883642394143378,0.35511113209571765,7,126.06026785714286,126.06026785714286,8.899576245537062,8.899576245537062
subject22,7.533482142857143,4.626458880943289,14.372967878491927,11.646429788840251,7.619047619047619,4.7482798276503795,0.6553725540363879,0.3377830118332838,-4.375636247252426,0.9122725625182689,7,94.41964285714286,101.953125,15.770409175554489,7.516722428786935
subject23,2.5111607142857144,1.840430453530388,5.478705861145169,5.092408694262718,3.571428571428571,2.617501089465441,0.7548263680143946,0.29333842371915675,2.554485427255092,1.332552671128849,7,67.29910714285714,65.79241071428571,7.616727566569638,4.080153216614042
subject24,1.5066964285714286,0.9679260050150539,2.971245426779941,2.54367122741772,1.4117647058823528,0.8648524591777214,0.9916318624710155,0.057734304070049904,-3.2317406143305383,0.9776424416829187,7,103.96205357142857,103.45982142857143,20.487131974256723,19.058369826907644
subject25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-5.044976402332597,0.6551115867243382,5,115.3125,115.3125,2.6308528500754274,2.6308528500754274
subject26,21.09375,14.340992381979705,38.38315517987676,35.53691025601758,20.83743842364532,14.047202054465501,0.990351497896315,0.08000814669878956,-8.044498029156621,1.115231628176913,5,111.796875,99.140625,37.62868545073027,1.40625
subject27,14.765625,12.435576170306705,31.483987280491093,29.72931563274277,13.166666666666666,11.046366924116825,0.07455927261862233,0.5757432630570047,-5.105129789376136,0.5288932243587182,5,95.625,108.984375,27.895548409983807,8.319487194983836
subject30,3.013392857142857,1.800846677010526,5.637541821590202,5.0686355470705795,3.0990173847316704,1.8310759279759392,0.7886921603525129,0.27494169425479503,-1.608714223263801,1.1553619469210454,7,99.44196428571429,97.43303571428571,8.55270520610143,6.431709613492817
subject31,2.0089285714285716,1.8599064504359293,5.315125401692258,5.114189521249213,2.380952380952381,2.204333570887027,-0.42365927286816174,0.40509574683346666,4.27902589975247,1.3906609027753145,7,77.34375,79.35267857142857,3.2548362882628763,2.5608914967820904
subject32,1.0044642857142858,0.6002822256701754,1.8791806071967339,1.4527102944571262,1.0043290043290045,0.6081420217603628,0.9889355855215108,0.06634215505879587,2.3240188745500054,1.1386698672089024,7,105.97098214285714,104.96651785714286,10.53491030528054,10.701198759707736
